Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 35,Dominant_Dosha,Prakriti,Agni
Thin,Underweight (in relation to height),Wheatish,Golden/ brown,"Small, dry, white part of eye is turbid (not clear white)",Slightly thin,"Ivory white, attractive shape, even-sized","Long, shiny, Reddish-white",Reddish/ pinkish in color,Delicate,Medium strength,"Low, hands and feet feel cold even in summers","Joints are strong, well covered with muscles, bony prominences cannot be seen",Abdominal obesity (large belly),Low hunger â€“ can skip one meal,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,"Sometimes too much in quantity, sometimes too less","Sweet, bitter, astringent",Moderate,Cold,Cold,Many a times,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Very fast,Always impulsive,With moderate energy,Very quick to grasp things,Medium memory â€“ can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Seldom/ sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Pitta,Vata-Pitta,Tikshna-Agni
Obese,Overweight,Fair,Black,"Big, attractive, black eyes (iris), white part of eye is milky white",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish","Rough, cracked","Soft, delicate, smooth, oily (unctuous)",Medium strength,"Low, hands and feet feel cold even in summers",Crepitus is heard on movements of joints,Abdominal obesity (large belly),Low hunger â€“ can skip one meal,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate â€“ not too much or too less,"Sweet, sour, salty",Not much,Cold,Cold,Always pass liquid stools,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Slow. Walks like an elephant stepping foot properly on the ground,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very easy to grasp things and understands properly,Long-term memory,Remembers after reading for 3-4 times,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Seldom/ sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","Very angrily, very impulsive",Kapha,Kapha-Pitta,Manda-Agni
Medium,Underweight (in relation to height),Dusky,Jet black,"Big, attractive, black eyes (iris), white part of eye is milky white",Slightly thin,"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish","Rough, cracked","Dry, rough, looks like dried twig","Weak, intolerant to strenuous activities, unable to lift heavy weight, easily tired by little work",Body feels warm all time,Crepitus is heard on movements of joints,Abdominal obesity (large belly),Intense hunger â€“ cannot control hunger,"Digestive capacity is erratic â€“ sometimes good, sometimes low. Sometimes ingestion leads to excess burping","Sometimes too much in quantity, sometimes too less","Sweet, sour, salty",Moderate,Warm,Cold,Always pass liquid stools,"Sometimes too much, sometimes too less",Very fast,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,Sometimes with low energy/ lethargy,Very easy to grasp things and understands properly,Long-term memory,Remembers after speaking-repeating many times,Moderate. 5-7 hours,Seldom/ sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very angrily, very impulsive",Vata,Vata-Pitta,Vishama-Agni
Thin,Underweight (in relation to height),Dusky,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Yellowish red (pink),"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Long, shiny, Reddish-white",Reddish/ pinkish in color,Delicate,"Weak, intolerant to strenuous activities, unable to lift heavy weight, easily tired by little work",Body feels warm all time,"Joints, bones cannot be seen",Abdominal obesity (large belly),Intense hunger â€“ cannot control hunger,"Digestive capacity is erratic â€“ sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate â€“ not too much or too less,"Sweet, sour, salty",Moderate,Warm,"Sometimes warm, sometimes cold",Always pass liquid stools,Excess â€“ excess as compared to people around,Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Brisk/ rapid. Walks like oneâ€™s running,Very slow,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Slow to grasp things but understands completely,Low memory â€“ remembers for 2-3 months,Remembers after speaking-repeating many times,Less sleep. Breaks in between. Not continuous or sound sleep,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Vata,Vata-Pitta,Vishama-Agni
Thin,Optimum â€“ as per age and height,Fair,Golden/ brown,"Big, attractive, black eyes (iris), white part of eye is milky white",Yellowish red (pink),"Ivory white, attractive shape, even-sized","Long, shiny, Reddish-white","Rough, cracked","Soft, delicate, smooth, oily (unctuous)","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Body feels warm all time,Crepitus is heard on movements of joints,Stomach is lean (lean belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Always too much (voracious eater),"Sweet, sour, salty",Excess thirst. Needs to drink more water even in cold season,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Always pass liquid stools,Excess â€“ excess as compared to people around,Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Slow. Walks like an elephant stepping foot properly on the ground,Very slow,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Slow to grasp things but understands completely,Low memory â€“ remembers for 2-3 months,Remembers after speaking-repeating many times,Moderate. 5-7 hours,Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very angrily, very impulsive",Vata,Vata-Pitta-Kapha,Sama-Agni
Obese,Overweight,Wheatish,Jet black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Slightly thin,"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Long, shiny, Reddish-white",Reddish/ pinkish in color,Delicate,"Weak, intolerant to strenuous activities, unable to lift heavy weight, easily tired by little work",Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),Low hunger â€“ can skip one meal,"Digestive capacity is erratic â€“ sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate â€“ not too much or too less,"Spicy, bitter, astringent",Moderate,Cold,Cold,Many a times,Sometimes,Very fast,Fast,Very fast,Always impulsive,Sometimes with low energy/ lethargy,Very quick to grasp things,Long-term memory,Remembers after speaking-repeating many times,Less sleep. Breaks in between. Not continuous or sound sleep,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Vata,Vata-Pitta-Kapha,Sama-Agni
Thin,Overweight,Dusky,Jet black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish","Rough, cracked",Delicate,Medium strength,Body feels warm all time,Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),Intense hunger â€“ cannot control hunger,Low digestive capacity. Sometimes there is no desire to have food in the evening.,"Sometimes too much in quantity, sometimes too less","Sweet, sour, salty",Excess thirst. Needs to drink more water even in cold season,"Sometimes warm, sometimes cold",Warm,Not much,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Brisk/ rapid. Walks like oneâ€™s running,Very fast,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Very quick to grasp things,Long-term memory,Remembers after speaking-repeating many times,Less sleep. Breaks in between. Not continuous or sound sleep,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Vata,Vata-Pitta,Vishama-Agni
Medium,Underweight (in relation to height),Dusky,Jet black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Broken, uneven, dry, rough",Reddish/ pinkish in color,"Dry, rough, looks like dried twig","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Body feels warm all time,"Joints are strong, well covered with muscles, bony prominences cannot be seen",Stomach is lean (lean belly),"Irregular (sometimes intense, sometimes low hunger)",Low digestive capacity. Sometimes there is no desire to have food in the evening.,Always too much (voracious eater),"Spicy, bitter, astringent",Excess thirst. Needs to drink more water even in cold season,Warm,"Sometimes warm, sometimes cold",Not much,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Brisk/ rapid. Walks like oneâ€™s running,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",Sometimes with low energy/ lethargy,Slow to grasp things but understands completely,Low memory â€“ remembers for 2-3 months,Remembers after reading even once,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Kapha,Vata-Kapha,Manda-Agni
Thin,Optimum â€“ as per age and height,Fair,Jet black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Long, shiny, Reddish-white",Delicate/ small,Delicate,"Weak, intolerant to strenuous activities, unable to lift heavy weight, easily tired by little work","Low, hands and feet feel cold even in summers",Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),Low hunger â€“ can skip one meal,Low digestive capacity. Sometimes there is no desire to have food in the evening.,Moderate â€“ not too much or too less,"Spicy, bitter, astringent",Moderate,"Sometimes warm, sometimes cold",Cold,Many a times,Sometimes,Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Brisk/ rapid. Walks like oneâ€™s running,Very slow,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very easy to grasp things and understands properly,Long-term memory,Remembers after reading even once,Less sleep. Breaks in between. Not continuous or sound sleep,Excess dreams,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Kapha,Vata-Kapha,Manda-Agni
Medium,Overweight,Fair,Golden/ brown,"Small, dry, white part of eye is turbid (not clear white)",Slightly thin,"Medium size, yellowish or yellow coloured","Long, shiny, Reddish-white","Rough, cracked","Soft, delicate, smooth, oily (unctuous)",Medium strength,"Low, hands and feet feel cold even in summers","Joints, bones cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic â€“ sometimes good, sometimes low. Sometimes ingestion leads to excess burping","Sometimes too much in quantity, sometimes too less","Spicy, bitter, astringent",Excess thirst. Needs to drink more water even in cold season,Warm,"Sometimes warm, sometimes cold",Always pass liquid stools,"Sometimes too much, sometimes too less",Very fast,Fast,Medium speed,Always impulsive,With moderate energy,Very easy to grasp things and understands properly,Low memory â€“ remembers for 2-3 months,Remembers after reading even once,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Seldom/ sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Pitta,Kapha-Pitta,Tikshna-Agni
